<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.V,D,20231220,000000,42312.05,44282.1,42192.07,43613.42,89791.39198058003,0
BTC.V,D,20231221,000000,43610.82,44245.76,43290.54,43957.34,66097.09868127924,0
BTC.V,D,20231222,000000,43957.78,44411.19,43422.98,43834.59,56738.46129868525,0
BTC.V,D,20231223,000000,43834.59,44084.27,43330.07,43767.73,26751.07691668821,0
BTC.V,D,20231224,000000,43767.72,43963.34,42704.43,43005.66,34504.33839877327,0
BTC.V,D,20231225,000000,43007.5,43806.92,42755.57,43689.76,41910.611259400044,0
BTC.V,D,20231226,000000,43689.75,43689.75,41703.68,42465.75,60515.068273421704,0
BTC.V,D,20231227,000000,42465.75,43698.84,42103.14,43350.67,58480.25042870074,0
BTC.V,D,20231228,000000,43356.09,43815.16,42273.56,42644.4,58361.44166027316,0
BTC.V,D,20231229,000000,42647.05,43129.69,41306.88,41769.38,73384.11279404335,0
BTC.V,D,20231230,000000,41769.38,42603.85,41521.75,42131.47,42126.05407118002,0
BTC.V,D,20231231,000000,42125.3,42880.97,41981.6,42247.33,36974.709628640936,0
BTC.V,D,20240101,000000,42250.67,43836.12,42053.81,43538.21,36699.93201999069,0
BTC.V,D,20240102,000000,43538.2,45919.08,43538.2,44998.36,120428.89657587811,0
BTC.V,D,20240103,000000,44998.59,45510.92,40823.78,42765.5,108719.30214483035,0
BTC.V,D,20240104,000000,42766.39,44791.82,42607.7,44370.75,77637.56188518154,0
BTC.V,D,20240105,000000,44370.75,44407.12,42530.83,44002.17,80687.05947248504,0
BTC.V,D,20240106,000000,44006.7,44343.01,43436.73,43904.94,31715.856620247032,0
BTC.V,D,20240107,000000,43904.95,44498.83,43726.66,43898.07,33319.345335152844,0
BTC.V,D,20240108,000000,43890.92,47261.66,43201.08,47041.83,118738.47706106871,0
BTC.V,D,20240109,000000,47041.83,47636.18,45198.27,46275.42,84466.7465109424,0
BTC.V,D,20240110,000000,46266.32,46958.68,44331.13,46914.42,127091.90165763993,0
BTC.V,D,20240111,000000,46914.42,48976.26,45596.8,46402.77,148231.48624512876,0
BTC.V,D,20240112,000000,46402.78,46520.53,41717.08,42481.94,138419.2609404879,0
BTC.V,D,20240113,000000,42464.55,43247.86,42426.37,42980.33,57983.41493471198,0
BTC.V,D,20240114,000000,42980.34,43068.51,41974.38,42250.7,37350.90604219772,0
BTC.V,D,20240115,000000,42250.8,43360.94,41688.01,42576.79,64329.2066321428,0
BTC.V,D,20240116,000000,42588.94,43573.63,42058.22,43199.08,66835.93395826768,0
BTC.V,D,20240117,000000,43199.09,43277.78,42162.79,42679.41,53088.1128629738,0
BTC.V,D,20240118,000000,42679.41,42876.96,40597.85,41312.9,74618.9205981749,0
BTC.V,D,20240119,000000,41303.61,42148.65,40259.3,41645.83,76408.34508230662,0
BTC.V,D,20240120,000000,41645.83,41830.48,41418.58,41747.28,24371.975286793724,0
BTC.V,D,20240121,000000,41747.27,41854.99,41503.41,41607.17,18120.252094423937,0
BTC.V,D,20240122,000000,41607.16,41658.8,39415.31,39794.81,77887.77007408718,0
BTC.V,D,20240123,000000,39793.06,40136.96,38514,39433.99,76509.53504270443,0
BTC.V,D,20240124,000000,39453.27,40519.71,39437.34,39854.86,66375.12832397761,0
BTC.V,D,20240125,000000,39854.85,40274.04,39523.9,39934.73,44992.076486968086,0
BTC.V,D,20240126,000000,39934.73,42231.43,39801.82,41897.47,70596.83345169657,0
BTC.V,D,20240127,000000,41897.47,42197.47,41390.56,42155.08,21989.85535179386,0
BTC.V,D,20240128,000000,42154.96,42828.72,41617.91,41827.31,34179.56226518754,0
BTC.V,D,20240129,000000,41833.46,43290.89,41746.94,43111.1,38069.14937320993,0
BTC.V,D,20240130,000000,43110.23,43861.32,43078.11,43326.9,56885.72727478784,0
BTC.V,D,20240131,000000,43324.01,43736.79,42287.4,42632.17,59896.93383667108,0
BTC.V,D,20240201,000000,42632.18,43271.28,41851.41,42914.66,53725.915950887356,0
